TM SOLVERS:

========================================================================================================================
Model           | Tier       | sharpSAT (s)    | Ganak (s)       | d4 Eval (s)     | d4 Comp (s)    
pathfinder      | few_ev     | 2.9497               | 36.9170             
pathfinder      | much_ev    | 1.6804               | 9.2692              
munin2          | no_ev      | MEM_OUT              | 27.3039             
munin2          | few_ev     | MEM_OUT              | 6.1787              
munin2          | much_ev    | MEM_OUT              | 2.0093              
munin           | no_ev      | MEM_OUT              | T/O                 
munin           | few_ev     | MEM_OUT              | 7.1709              
munin           | much_ev    | 1.2947               | 2.5175  
================================================================================

MPE SOLVERS RERUN:
================================================================================
Model           | Tier       | RC2 (PySAT) (s)      | UWrMaxSat (C++) (s) 
--------------------------------------------------------------------------------
asia            | no_ev      | 0.0050               | 0.0221              
asia            | few_ev     | 0.0023               | 0.0247              
asia            | much_ev    | 0.0020               | 0.0252              
cancer          | no_ev      | 0.0020               | 0.0272              
cancer          | few_ev     | 0.0019               | 0.0283              
cancer          | much_ev    | 0.0018               | 0.0305              
sachs           | no_ev      | 0.0100               | 0.0491              
sachs           | few_ev     | 0.0095               | 0.0519              
sachs           | much_ev    | 0.0067               | 0.0514              
alarm           | no_ev      | 0.1873               | 0.0697              
alarm           | few_ev     | 0.0148               | 0.0516              
alarm           | much_ev    | 0.0128               | 0.0457              
child           | no_ev      | 0.0814               | 0.0487              
child           | few_ev     | 0.1263               | 0.0479              
child           | much_ev    | 0.0134               | 0.0406              
water           | no_ev      | 2.0009               | 0.3442              
water           | few_ev     | 0.7300               | 0.2861              
water           | much_ev    | 0.1749               | 0.2390 
barley          | no_ev      | MEM_OUT              | T/O
barley          | few_ev     | MEM_OUT              | 176.3102 (1 TO) 
barley          | much_ev    | MEM_OUT              | 11.9139 (1 TO) 
hailfinder      | no_ev      | MEM_OUT              | 0.8123
hailfinder      | few_ev     | MEM_OUT              | 0.3675
hailfinder      | much_ev    | 16.0431 (1 TO)       | 0.1780
win95pts        | no_ev      | 0.0200               | 0.0568
win95pts        | few_ev     | 0.0199               | 0.0544 
win95pts        | much_ev    | 0.0186               | 0.0516
andes           | no_ev      | MEM_OUT              | 0.2183 
andes           | few_ev     | MEM_OUT              | 0.2349
andes           | much_ev    | 0.0573               | 0.1321 
link            | no_ev      | 0.2233               | 0.4052  
link            | few_ev     | 0.1894               | 0.5000
link            | much_ev    | 0.1809               | 0.2777 
pathfinder      | no_ev      | 10.6884              | 299.1136 (3 TO)  
pathfinder      | few_ev     | 3.1049               | 38.2428
pathfinder      | much_ev    | 1.3304               | 3.0530   
munin2          | no_ev      | MEM_OUT              | 28.4566
munin2          | few_ev     | 1.9554               | 6.3106 
munin2          | much_ev    | 1.1177               | 1.9952 
munin           | no_ev      | MEM_OUT              | T/O   
munin           | few_ev     | MEM_OUT              | 8.4389 
munin           | much_ev    | 1.4048               | 2.4487




MPE VS REG old:
===============================================================================================
Model           | Tier       | UWrMaxSat (s)   | Var. Elim (s)   | Hill Climb (s) 
-----------------------------------------------------------------------------------------------
asia            | no_ev      | 0.0201          | 0.0024          | INV            
asia            | few_ev     | 0.0214          | 0.0024          | 0.0001         
asia            | much_ev    | 0.0228          | 0.0025          | INV            
cancer          | no_ev      | 0.0240          | 0.0018          | 0.0001         
cancer          | few_ev     | 0.0257          | 0.0019          | 0.0000         
cancer          | much_ev    | 0.0267          | 0.0018          | 0.0001         
sachs           | no_ev      | 0.0503          | 0.0071          | 0.0002         
sachs           | few_ev     | 0.0470          | 0.0044          | 0.0003         
sachs           | much_ev    | 0.0438          | 0.0035          | 0.0002         
alarm           | no_ev      | 0.0668          | MEM_OUT         | INV            
alarm           | few_ev     | 0.0673          | MEM_OUT         | INV            
alarm           | much_ev    | 0.0608          | MEM_OUT         | INV            
child           | no_ev      | 0.0729          | MEM_OUT         | 0.0003         
